"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
7.9627609546159e-36,1.20520026766508,0.734,0.336,1.418008470798e-31,"19","CHMP1B"
8.58972257835407e-36,2.02794174008493,0.46,0.087,1.52965779675329e-31,"19","EPB41L2"
1.0844872834172e-35,0.825161173038952,0.776,0.303,1.93125495430936e-31,"19","NAIP"
1.40856130200939e-35,1.3778066906296,0.531,0.158,2.50836596661833e-31,"19","CYFIP1"
2.65967194638947e-35,0.977391887452311,0.579,0.22,4.73634380213036e-31,"19","CTNNA1"
2.96814973304249e-35,0.876318731561162,0.75,0.341,5.28568104460206e-31,"19","MAP3K8"
4.99594924382207e-35,0.930128733202223,0.837,0.358,8.89678641339835e-31,"19","PPT1"
5.29228181042582e-35,2.04694501344573,0.438,0.101,9.4244954480063e-31,"19","VEGFA"
7.73782977361041e-35,0.841075579210816,0.811,0.378,1.37795272608454e-30,"19","TRIM8"
3.12040958843423e-34,1.08978385794183,0.615,0.215,5.55682539508368e-30,"19","RARA"
3.21405238237526e-34,1.16134807350288,0.61,0.205,5.72358448253386e-30,"19","MBOAT7"
4.98383706822782e-34,1.28865928270305,0.579,0.183,8.87521705110011e-30,"19","FBP1"
5.9589462563692e-34,1.15477469253051,0.62,0.215,1.06116914933423e-29,"19","PRKCD"
1.17670733458973e-33,0.947226025773798,0.68,0.25,2.09548042143739e-29,"19","EMILIN2"
3.40600859273964e-33,1.10442615734294,0.661,0.237,6.06542010195075e-29,"19","UNC93B1"
3.88438129590694e-33,1.20049422129651,0.511,0.169,6.91730621175108e-29,"19","SAP30"
1.6461507715678e-32,0.888836583613001,0.683,0.262,2.93146529400794e-28,"19","LY96"
2.40824165320816e-32,1.22663234393881,0.498,0.093,4.2885967360331e-28,"19","AFF3"
1.02938889579906e-31,1.20629581409167,0.54,0.171,1.83313574563897e-27,"19","CD163"
1.12155919147188e-31,0.318371416236173,0.998,0.807,1.99727260817313e-27,"19","SRGN"
1.13724842255514e-31,0.9240818714369,0.506,0.179,2.0252119908862e-27,"19","TFEC"
1.51099627388588e-31,1.26618295799853,0.494,0.155,2.69078216453597e-27,"19","PPIF"
2.04675402486259e-31,0.896512133375107,0.682,0.245,3.6448595674753e-27,"19","GRK3"
2.12054577486571e-31,0.319160081119821,1,1,3.77626791588085e-27,"19","MT-CO1"
2.25160682709803e-31,0.472416696347189,0.983,0.589,4.00966143769617e-27,"19","BRI3"
2.53735732135299e-31,0.929631752349103,0.89,0.445,4.5185259178654e-27,"19","TPM4"
3.37768834495377e-31,0.765519061232391,0.842,0.363,6.01498740469367e-27,"19","THEMIS2"
3.57960068680644e-31,0.561712297883004,0.812,0.328,6.3745529030649e-27,"19","GCA"
3.68664228920296e-31,0.773534756748815,0.842,0.396,6.56517258861263e-27,"19","RILPL2"
6.0596742345306e-31,1.01323962926831,0.429,0.123,1.07910678768521e-26,"19","HAVCR2"
7.31172489745973e-31,2.67432886700252,0.303,0.04,1.30207196973963e-26,"19","ZNF503"
1.39301523821218e-30,0.990066132297614,0.741,0.283,2.48068153620825e-26,"19","SPTLC2"
1.48847000147714e-30,0.772781443903539,0.86,0.404,2.65066737863049e-26,"19","ZYX"
2.25954555234474e-30,0.627553679147396,0.848,0.374,4.02379871961551e-26,"19","ADA2"
3.0782481637503e-30,1.13037083416027,0.578,0.19,5.48174433000654e-26,"19","KYNU"
3.95538757377594e-30,0.739359391736163,0.797,0.381,7.04375419138019e-26,"19","YBX3"
8.32230002706081e-30,0.686283515023111,0.916,0.484,1.48203518881899e-25,"19","QKI"
1.03677752364796e-29,0.294773678866051,0.97,0.51,1.84629341411228e-25,"19","APLP2"
1.4672810360062e-29,1.00034351136829,0.593,0.203,2.61293406891984e-25,"19","HNMT"
1.8885077741676e-29,0.963522050814366,0.766,0.326,3.36305464423767e-25,"19","NAGK"
1.92246095997745e-29,0.829319783943806,0.75,0.311,3.42351847752785e-25,"19","MYD88"
2.79811484827472e-29,1.04118823035597,0.868,0.517,4.98288292180762e-25,"19","DDIT4"
4.36171513462474e-29,0.74983913491055,0.947,0.558,7.76734231173975e-25,"19","PKM"
5.74911238096285e-29,1.67520003807794,0.45,0.107,1.02380193280187e-24,"19","DUSP3"
6.28265248405165e-29,1.3530856970081,0.526,0.152,1.11881475435992e-24,"19","LPCAT2"
6.4319066789422e-29,0.963963794967201,0.649,0.246,1.14539394138603e-24,"19","FAM129A"
8.31318560723657e-29,0.996333648536879,0.674,0.233,1.48041209293669e-24,"19","SCIMP"
9.53533510326622e-29,0.793763893957954,0.896,0.499,1.69805247518965e-24,"19","ATP2B1"
1.20680817212029e-28,1.14809181773919,0.559,0.19,2.14908399291181e-24,"19","GNB4"
1.51344923387062e-28,1.00390622486941,0.443,0.142,2.6951503956768e-24,"19","CCDC112"
2.19002534291188e-28,1.468730525201,0.436,0.114,3.89999713065748e-24,"19","CRYBG3"
5.72545298329542e-28,1.05648885263041,0.55,0.18,1.01958866726525e-23,"19","HHEX"
7.29520698957691e-28,1.50591448927837,0.363,0.097,1.29913046070386e-23,"19","MYOF"
7.68539946763099e-28,1.13950482424048,0.503,0.167,1.36861593719573e-23,"19","ZNF467"
8.8823446664345e-28,0.915583999116699,0.63,0.226,1.58176793819866e-23,"19","CREG1"
1.07573828600746e-27,0.506895840557838,0.823,0.331,1.91567473972208e-23,"19","CLEC7A"
1.4154273950124e-27,0.695960673769999,0.96,0.592,2.52059310503808e-23,"19","CD63"
1.78307831138424e-27,0.817262068725727,0.807,0.359,3.17530585691306e-23,"19","CD4"
3.23867067079443e-27,0.628321487277147,0.958,0.503,5.76742473055073e-23,"19","NPC2"
